Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,female2male_rate,male2female_rate,total,nr_female,nr_male,mis_ratio,female2male_rate_100,male2female_rate_100
resnet,adversarial,34,FALSE,CW2,0.078947368,0.054054054,0.102564103,76,37,39,0.03,0.02,0.04
resnet,adversarial,34,FALSE,DeepFool,0.058823529,0,0.107142857,51,23,28,0.015,0,0.03
resnet,adversarial,34,FALSE,FGSM,0.075757576,0.028571429,0.129032258,66,35,31,0.025,0.01,0.04
resnet,adversarial,34,FALSE,LLC,0.039215686,0.041666667,0.037037037,51,24,27,0.01,0.01,0.01
resnet,adversarial,34,FALSE,PGD,0.064220183,0.018181818,0.111111111,109,55,54,0.035,0.01,0.06
resnet,adversarial,34,FALSE,RFGSM,0.065420561,0.021276596,0.1,107,47,60,0.035,0.01,0.06
resnet,adversarial,34,FALSE,STEP_LLC,0.073170732,0.037037037,0.142857143,41,27,14,0.015,0.01,0.02
resnet,adversarial,34,FALSE,UAP,0.08,0,0.148148148,50,23,27,0.02,0,0.04
resnet,adversarial,50,TRUE,BL-BFGS,0.06185567,0.030612245,0.09375,194,98,96,0.06,0.03,0.09
resnet,adversarial,50,TRUE,CW2,0.071794872,0.030927835,0.112244898,195,97,98,0.07,0.03,0.11
resnet,adversarial,50,TRUE,DeepFool,0.025806452,0.012820513,0.038961039,155,78,77,0.02,0.01,0.03
resnet,adversarial,50,TRUE,FGSM,0.126315789,0.139534884,0.115384615,95,43,52,0.06,0.06,0.06
resnet,adversarial,50,TRUE,LLC,0.079545455,0.048780488,0.106382979,88,41,47,0.035,0.02,0.05
resnet,adversarial,50,TRUE,PGD,0.060301508,0.04,0.080808081,199,100,99,0.06,0.04,0.08
resnet,adversarial,50,TRUE,RFGSM,0.068062827,0.031578947,0.104166667,191,95,96,0.065,0.03,0.1
resnet,adversarial,50,TRUE,STEP_LLC,0.061538462,0.107142857,0.027027027,65,28,37,0.02,0.03,0.01
resnet,adversarial,50,TRUE,UAP,0.127272727,0.153846154,0.119047619,55,13,42,0.035,0.02,0.05
resnet,adversarial,50,FALSE,BL-BFGS,0.093333333,0.051282051,0.138888889,75,39,36,0.035,0.02,0.05
resnet,adversarial,50,FALSE,CW2,0.068493151,0.029411765,0.102564103,73,34,39,0.025,0.01,0.04
resnet,adversarial,50,FALSE,DeepFool,0.069767442,0,0.15,43,23,20,0.015,0,0.03
resnet,adversarial,50,FALSE,FGSM,0.042553191,0,0.052631579,47,9,38,0.01,0,0.02
resnet,adversarial,50,FALSE,LLC,0.101694915,0.090909091,0.108108108,59,22,37,0.03,0.02,0.04
resnet,adversarial,50,FALSE,PGD,0.085106383,0.045454545,0.12,94,44,50,0.04,0.02,0.06
resnet,adversarial,50,FALSE,RFGSM,0.04,0,0.054054054,50,13,37,0.01,0,0.02
resnet,adversarial,50,FALSE,STEP_LLC,0.069767442,0,0.083333333,43,7,36,0.015,0,0.03
resnet,adversarial,50,FALSE,UAP,0,0,0,45,26,19,0,0,0
