Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
resnet,adversarial,18,True,UAP,0.27350427350427353,0.10256410256410256,117,0.16,0.06,
resnet,adversarial,18,False,BL-BFGS,0.195,0.005,200,0.195,0.005,
resnet,adversarial,18,False,CW2,0.19095477386934673,0.005025125628140704,199,0.19,0.005,
resnet,adversarial,18,False,DeepFool,0.19186046511627908,0.10465116279069768,172,0.165,0.09,
resnet,adversarial,18,False,FGSM,0.2857142857142857,0.14285714285714285,147,0.21,0.105,
resnet,adversarial,18,False,LLC,0.24864864864864866,0.08648648648648649,185,0.23,0.08,
resnet,adversarial,18,False,PGD,0.22,0.135,200,0.22,0.135,
resnet,adversarial,18,False,RFGSM,0.23595505617977527,0.16292134831460675,178,0.21,0.145,
resnet,adversarial,18,False,STEP_LLC,0.3373493975903614,0.10843373493975904,83,0.14,0.045,
resnet,adversarial,18,False,UAP,0.2987012987012987,0.12987012987012986,77,0.115,0.05,
resnet,adversarial,34,True,BL-BFGS,0.185,0.005,200,0.185,0.005,
resnet,adversarial,34,True,CW2,0.18,0.005,200,0.18,0.005,
resnet,adversarial,34,True,DeepFool,0.18877551020408162,0.15306122448979592,196,0.185,0.15,
resnet,adversarial,34,True,FGSM,0.27586206896551724,0.1724137931034483,145,0.2,0.125,
resnet,adversarial,34,True,LLC,0.211340206185567,0.10309278350515463,194,0.205,0.1,
resnet,adversarial,34,True,PGD,0.22,0.165,200,0.22,0.165,
resnet,adversarial,34,True,RFGSM,0.2553191489361702,0.1702127659574468,188,0.24,0.16,
resnet,adversarial,34,True,STEP_LLC,0.29245283018867924,0.1320754716981132,106,0.155,0.07,
resnet,adversarial,34,True,UAP,0.20454545454545456,0.17424242424242425,132,0.135,0.115,
resnet,adversarial,34,False,BL-BFGS,0.195,0.005,200,0.195,0.005,
resnet,adversarial,34,False,CW2,0.19,0.005,200,0.19,0.005,
resnet,adversarial,34,False,DeepFool,0.17857142857142858,0.13690476190476192,168,0.15,0.115,
resnet,adversarial,34,False,FGSM,0.2874251497005988,0.15568862275449102,167,0.24,0.13,
resnet,adversarial,34,False,LLC,0.24561403508771928,0.1111111111111111,171,0.21,0.095,
resnet,adversarial,34,False,PGD,0.245,0.14,200,0.245,0.14,
resnet,adversarial,34,False,RFGSM,0.25766871165644173,0.18404907975460122,163,0.21,0.15,
resnet,adversarial,34,False,STEP_LLC,0.3490566037735849,0.09433962264150944,106,0.185,0.05,
resnet,adversarial,34,False,UAP,0.2898550724637681,0.15942028985507245,69,0.1,0.055,
resnet,adversarial,50,True,BL-BFGS,0.18,0.005,200,0.18,0.005,
resnet,adversarial,50,True,CW2,0.185,0.005,200,0.185,0.005,
resnet,adversarial,50,True,DeepFool,0.17766497461928935,0.1319796954314721,197,0.175,0.13,
resnet,adversarial,50,True,FGSM,0.3173076923076923,0.22115384615384615,104,0.165,0.115,
resnet,adversarial,50,True,LLC,0.2094240837696335,0.05759162303664921,191,0.2,0.055,
resnet,adversarial,50,True,PGD,0.215,0.17,200,0.215,0.17,
resnet,adversarial,50,True,RFGSM,0.2392638036809816,0.17791411042944785,163,0.195,0.145,
resnet,adversarial,50,True,STEP_LLC,0.35365853658536583,0.14634146341463414,82,0.145,0.06,
resnet,adversarial,50,True,UAP,0.18471337579617833,0.03184713375796178,157,0.145,0.025,
resnet,adversarial,50,False,BL-BFGS,0.19,0.005,200,0.19,0.005,
resnet,adversarial,50,False,CW2,0.195,0.005,200,0.195,0.005,
resnet,adversarial,50,False,DeepFool,0.1694915254237288,0.10734463276836158,177,0.15,0.095,
resnet,adversarial,50,False,FGSM,0.3419354838709677,0.12903225806451613,155,0.265,0.1,
resnet,adversarial,50,False,LLC,0.21965317919075145,0.09248554913294797,173,0.19,0.08,
resnet,adversarial,50,False,PGD,0.22613065326633167,0.11557788944723618,199,0.225,0.115,
resnet,adversarial,50,False,RFGSM,0.2549019607843137,0.1437908496732026,153,0.195,0.11,
resnet,adversarial,50,False,STEP_LLC,0.31,0.08,100,0.155,0.04,
resnet,adversarial,50,False,UAP,0.3142857142857143,0.17142857142857143,70,0.11,0.06,
inception,raw,V3,True,BL-BFGS,0.195,0.005,200,0.195,0.005,
inception,raw,V3,True,CW2,0.185,0.005,200,0.185,0.005,
inception,raw,V3,True,DeepFool,0.18090452261306533,0.20100502512562815,199,0.18,0.2,
inception,raw,V3,True,FGSM,0.3333333333333333,0.13131313131313133,99,0.165,0.065,
inception,raw,V3,True,LLC,0.22674418604651161,0.0872093023255814,172,0.195,0.075,
inception,raw,V3,True,PGD,0.22,0.14,200,0.22,0.14,
inception,raw,V3,True,RFGSM,0.2653061224489796,0.16326530612244897,147,0.195,0.12,
inception,raw,V3,True,STEP_LLC,0.36363636363636365,0.10606060606060606,66,0.12,0.035,
inception,raw,V3,True,UAP,0.2653061224489796,0.17346938775510204,98,0.13,0.085,
vgg,raw,16,True,BL-BFGS,0.185,0.005,200,0.185,0.005,
vgg,raw,16,True,CW2,0.175,0.005,200,0.175,0.005,
vgg,raw,16,True,DeepFool,0.1746031746031746,0.14814814814814814,189,0.165,0.14,
vgg,raw,16,True,FGSM,0.2937062937062937,0.11888111888111888,143,0.21,0.085,
vgg,raw,16,True,LLC,0.20994475138121546,0.08839779005524862,181,0.19,0.08,
vgg,raw,16,True,PGD,0.2345679012345679,0.15432098765432098,162,0.19,0.125,
vgg,raw,16,True,RFGSM,0.25165562913907286,0.17218543046357615,151,0.19,0.13,
vgg,raw,16,True,STEP_LLC,0.28651685393258425,0.05056179775280899,178,0.255,0.045,
vgg,raw,16,True,UAP,0.20320855614973263,0.11229946524064172,187,0.19,0.105,
