Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
resnet,augmented,34,False,UAP,0.09375,0.0234375,128,0.06,0.015,
resnet,augmented,50,True,BL-BFGS,0.05,0.02,200,0.05,0.02,
resnet,augmented,50,True,CW2,0.05,0.025,200,0.05,0.025,
resnet,augmented,50,True,DeepFool,0.05154639175257732,0.041237113402061855,194,0.05,0.04,
resnet,augmented,50,True,FGSM,0.087248322147651,0.053691275167785234,149,0.065,0.04,
resnet,augmented,50,True,LLC,0.06878306878306878,0.005291005291005291,189,0.065,0.005,
resnet,augmented,50,True,PGD,0.055,0.07,200,0.055,0.07,
resnet,augmented,50,True,RFGSM,0.05913978494623656,0.05913978494623656,186,0.055,0.055,
resnet,augmented,50,True,STEP_LLC,0.09230769230769231,0.023076923076923078,130,0.06,0.015,
resnet,augmented,50,True,UAP,0.07476635514018691,0.009345794392523364,107,0.04,0.005,
resnet,augmented,50,False,BL-BFGS,0.05102040816326531,0.025510204081632654,196,0.05,0.025,
resnet,augmented,50,False,CW2,0.05,0.025,200,0.05,0.025,
resnet,augmented,50,False,DeepFool,0.04093567251461988,0.017543859649122806,171,0.035,0.015,
resnet,augmented,50,False,FGSM,0.13020833333333334,0.03125,192,0.125,0.03,
resnet,augmented,50,False,LLC,0.07303370786516854,0.016853932584269662,178,0.065,0.015,
resnet,augmented,50,False,PGD,0.06,0.04,200,0.06,0.04,
resnet,augmented,50,False,RFGSM,0.04145077720207254,0.025906735751295335,193,0.04,0.025,
resnet,augmented,50,False,STEP_LLC,0.13218390804597702,0.022988505747126436,174,0.115,0.02,
resnet,augmented,50,False,UAP,0.020833333333333332,0.006944444444444444,144,0.015,0.005,
resnet,adversarial,18,True,BL-BFGS,0.05,0.03,200,0.05,0.03,
resnet,adversarial,18,True,CW2,0.05,0.025,200,0.05,0.025,
resnet,adversarial,18,True,DeepFool,0.05102040816326531,0.0663265306122449,196,0.05,0.065,
resnet,adversarial,18,True,FGSM,0.11585365853658537,0.10365853658536585,164,0.095,0.085,
resnet,adversarial,18,True,LLC,0.06770833333333333,0.020833333333333332,192,0.065,0.02,
resnet,adversarial,18,True,PGD,0.065,0.08,200,0.065,0.08,
resnet,adversarial,18,True,RFGSM,0.06878306878306878,0.06878306878306878,189,0.065,0.065,
resnet,adversarial,18,True,STEP_LLC,0.08870967741935484,0.08870967741935484,124,0.055,0.055,
resnet,adversarial,18,True,UAP,0.05982905982905983,0.05982905982905983,117,0.035,0.035,
resnet,adversarial,18,False,BL-BFGS,0.05,0.025,200,0.05,0.025,
resnet,adversarial,18,False,CW2,0.05025125628140704,0.03015075376884422,199,0.05,0.03,
resnet,adversarial,18,False,DeepFool,0.046511627906976744,0.040697674418604654,172,0.04,0.035,
resnet,adversarial,18,False,FGSM,0.08163265306122448,0.06802721088435375,147,0.06,0.05,
resnet,adversarial,18,False,LLC,0.03783783783783784,0.005405405405405406,185,0.035,0.005,
resnet,adversarial,18,False,PGD,0.04,0.06,200,0.04,0.06,
resnet,adversarial,18,False,RFGSM,0.0449438202247191,0.056179775280898875,178,0.04,0.05,
resnet,adversarial,18,False,STEP_LLC,0.10843373493975904,0.04819277108433735,83,0.045,0.02,
resnet,adversarial,18,False,UAP,0.05194805194805195,0.03896103896103896,77,0.02,0.015,
resnet,adversarial,34,True,BL-BFGS,0.05,0.03,200,0.05,0.03,
resnet,adversarial,34,True,CW2,0.05,0.025,200,0.05,0.025,
resnet,adversarial,34,True,DeepFool,0.04081632653061224,0.05612244897959184,196,0.04,0.055,
resnet,adversarial,34,True,FGSM,0.12413793103448276,0.07586206896551724,145,0.09,0.055,
resnet,adversarial,34,True,LLC,0.05670103092783505,0.020618556701030927,194,0.055,0.02,
resnet,adversarial,34,True,PGD,0.08,0.085,200,0.08,0.085,
resnet,adversarial,34,True,RFGSM,0.06382978723404255,0.0797872340425532,188,0.06,0.075,
resnet,adversarial,34,True,STEP_LLC,0.11320754716981132,0.04716981132075472,106,0.06,0.025,
resnet,adversarial,34,True,UAP,0.06060606060606061,0.045454545454545456,132,0.04,0.03,
resnet,adversarial,34,False,BL-BFGS,0.05,0.02,200,0.05,0.02,
resnet,adversarial,34,False,CW2,0.06,0.02,200,0.06,0.02,
resnet,adversarial,34,False,DeepFool,0.041666666666666664,0.047619047619047616,168,0.035,0.04,
resnet,adversarial,34,False,FGSM,0.12574850299401197,0.041916167664670656,167,0.105,0.035,
resnet,adversarial,34,False,LLC,0.0935672514619883,0.005847953216374269,171,0.08,0.005,
resnet,adversarial,34,False,PGD,0.085,0.045,200,0.085,0.045,
resnet,adversarial,34,False,RFGSM,0.05521472392638037,0.05521472392638037,163,0.045,0.045,
resnet,adversarial,34,False,STEP_LLC,0.16037735849056603,0.009433962264150943,106,0.085,0.005,
resnet,adversarial,34,False,UAP,0.18840579710144928,0.028985507246376812,69,0.065,0.01,
resnet,adversarial,50,True,BL-BFGS,0.05,0.03,200,0.05,0.03,
resnet,adversarial,50,True,CW2,0.05,0.03,200,0.05,0.03,
resnet,adversarial,50,True,DeepFool,0.050761421319796954,0.06598984771573604,197,0.05,0.065,
resnet,adversarial,50,True,FGSM,0.11538461538461539,0.10576923076923077,104,0.06,0.055,
resnet,adversarial,50,True,LLC,0.05235602094240838,0.005235602094240838,191,0.05,0.005,
resnet,adversarial,50,True,PGD,0.055,0.075,200,0.055,0.075,
resnet,adversarial,50,True,RFGSM,0.07975460122699386,0.07975460122699386,163,0.065,0.065,
resnet,adversarial,50,True,STEP_LLC,0.13414634146341464,0.0975609756097561,82,0.055,0.04,
resnet,adversarial,50,True,UAP,0.05732484076433121,0.006369426751592357,157,0.045,0.005,
resnet,adversarial,50,False,BL-BFGS,0.045,0.025,200,0.045,0.025,
resnet,adversarial,50,False,CW2,0.045,0.03,200,0.045,0.03,
resnet,adversarial,50,False,DeepFool,0.05084745762711865,0.01694915254237288,177,0.045,0.015,
resnet,adversarial,50,False,FGSM,0.12258064516129032,0.025806451612903226,155,0.095,0.02,
resnet,adversarial,50,False,LLC,0.05202312138728324,0.005780346820809248,173,0.045,0.005,
resnet,adversarial,50,False,PGD,0.07035175879396985,0.05025125628140704,199,0.07,0.05,
resnet,adversarial,50,False,RFGSM,0.05228758169934641,0.0457516339869281,153,0.04,0.035,
resnet,adversarial,50,False,STEP_LLC,0.14,0.0,100,0.07,0.0,
resnet,adversarial,50,False,UAP,0.11428571428571428,0.05714285714285714,70,0.04,0.02,
inception,raw,V3,True,BL-BFGS,0.05,0.03,200,0.05,0.03,
inception,raw,V3,True,CW2,0.045,0.02,200,0.045,0.02,
inception,raw,V3,True,DeepFool,0.05025125628140704,0.06532663316582915,199,0.05,0.065,
inception,raw,V3,True,FGSM,0.1111111111111111,0.10101010101010101,99,0.055,0.05,
inception,raw,V3,True,LLC,0.05813953488372093,0.005813953488372093,172,0.05,0.005,
inception,raw,V3,True,PGD,0.05,0.085,200,0.05,0.085,
inception,raw,V3,True,RFGSM,0.061224489795918366,0.061224489795918366,147,0.045,0.045,
inception,raw,V3,True,STEP_LLC,0.12121212121212122,0.07575757575757576,66,0.04,0.025,
inception,raw,V3,True,UAP,0.061224489795918366,0.030612244897959183,98,0.03,0.015,
vgg,raw,16,True,BL-BFGS,0.05,0.025,200,0.05,0.025,
vgg,raw,16,True,CW2,0.05,0.03,200,0.05,0.03,
vgg,raw,16,True,DeepFool,0.047619047619047616,0.06878306878306878,189,0.045,0.065,
vgg,raw,16,True,FGSM,0.1258741258741259,0.07692307692307693,143,0.09,0.055,
vgg,raw,16,True,LLC,0.0718232044198895,0.016574585635359115,181,0.065,0.015,
vgg,raw,16,True,PGD,0.07407407407407407,0.13580246913580246,162,0.06,0.11,
vgg,raw,16,True,RFGSM,0.06622516556291391,0.07947019867549669,151,0.05,0.06,
vgg,raw,16,True,STEP_LLC,0.12921348314606743,0.011235955056179775,178,0.115,0.01,
vgg,raw,16,True,UAP,0.0374331550802139,0.0481283422459893,187,0.035,0.045,
