Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,matching_rate,total,mis_ratio,match_ratio,
resnet,adversarial,18,True,FGSM,0.2073170731707317,0.1524390243902439,164,0.17,0.125,
resnet,adversarial,18,True,LLC,0.057291666666666664,0.03125,192,0.055,0.03,
resnet,adversarial,18,True,PGD,0.045,0.165,200,0.045,0.165,
resnet,adversarial,18,True,RFGSM,0.06349206349206349,0.1746031746031746,189,0.06,0.165,
resnet,adversarial,18,True,STEP_LLC,0.20967741935483872,0.12903225806451613,124,0.13,0.08,
resnet,adversarial,18,True,UAP,0.008547008547008548,0.03418803418803419,117,0.005,0.02,
resnet,adversarial,18,False,BL-BFGS,0.005,0.115,200,0.005,0.115,
resnet,adversarial,18,False,CW2,0.005025125628140704,0.11557788944723618,199,0.005,0.115,
resnet,adversarial,18,False,DeepFool,0.011627906976744186,0.10465116279069768,172,0.01,0.09,
resnet,adversarial,18,False,FGSM,0.10204081632653061,0.09523809523809523,147,0.075,0.07,
resnet,adversarial,18,False,LLC,0.05405405405405406,0.032432432432432434,185,0.05,0.03,
resnet,adversarial,18,False,PGD,0.075,0.1,200,0.075,0.1,
resnet,adversarial,18,False,RFGSM,0.033707865168539325,0.0898876404494382,178,0.03,0.08,
resnet,adversarial,18,False,STEP_LLC,0.08433734939759036,0.12048192771084337,83,0.035,0.05,
resnet,adversarial,18,False,UAP,0.07792207792207792,0.1038961038961039,77,0.03,0.04,
resnet,adversarial,34,True,BL-BFGS,0.005,0.115,200,0.005,0.115,
resnet,adversarial,34,True,CW2,0.01,0.115,200,0.01,0.115,
resnet,adversarial,34,True,DeepFool,0.0,0.12244897959183673,196,0.0,0.12,
resnet,adversarial,34,True,FGSM,0.1793103448275862,0.15172413793103448,145,0.13,0.11,
resnet,adversarial,34,True,LLC,0.041237113402061855,0.03608247422680412,194,0.04,0.035,
resnet,adversarial,34,True,PGD,0.04,0.145,200,0.04,0.145,
resnet,adversarial,34,True,RFGSM,0.06382978723404255,0.14893617021276595,188,0.06,0.14,
resnet,adversarial,34,True,STEP_LLC,0.18867924528301888,0.07547169811320754,106,0.1,0.04,
