Architecture,Data_type,Depth,Pretrained,Attack,misclassification_rate,female2male_rate,male2female_rate,total,nr_female,nr_male,mis_ratio,female2male_rate_100,male2female_rate_100
resnet,raw,18,FALSE,STEP_LLC,0.074074074,0.05,0.097560976,162,80,82,0.06,0.04,0.08
resnet,raw,18,FALSE,UAP,0.017857143,0.023255814,0.012195122,168,86,82,0.015,0.02,0.01
resnet,raw,34,TRUE,BL-BFGS,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,raw,34,TRUE,CW2,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,raw,34,TRUE,DeepFool,0,0,0,175,89,86,0,0,0
resnet,raw,34,TRUE,FGSM,0.139896373,0.113402062,0.166666667,193,97,96,0.135,0.11,0.16
resnet,raw,34,TRUE,LLC,0.010416667,0,0.017857143,96,40,56,0.005,0,0.01
resnet,raw,34,TRUE,PGD,0.055,0.05,0.06,200,100,100,0.055,0.05,0.06
resnet,raw,34,TRUE,RFGSM,0.050251256,0.04,0.060606061,199,100,99,0.05,0.04,0.06
resnet,raw,34,TRUE,STEP_LLC,0.118343195,0.104651163,0.13253012,169,86,83,0.1,0.09,0.11
resnet,raw,34,TRUE,UAP,0.005714286,0.011235955,0,175,89,86,0.005,0.01,0
resnet,raw,34,FALSE,BL-BFGS,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,raw,34,FALSE,CW2,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,raw,34,FALSE,DeepFool,0,0,0,167,87,80,0,0,0
resnet,raw,34,FALSE,FGSM,0.1,0.052083333,0.14893617,190,96,94,0.095,0.05,0.14
resnet,raw,34,FALSE,LLC,0.06122449,0.033898305,0.102564103,98,59,39,0.03,0.02,0.04
resnet,raw,34,FALSE,PGD,0.045918367,0.051546392,0.04040404,196,97,99,0.045,0.05,0.04
resnet,raw,34,FALSE,RFGSM,0.065326633,0.06,0.070707071,199,100,99,0.065,0.06,0.07
resnet,raw,34,FALSE,STEP_LLC,0.086956522,0.047619048,0.12987013,161,84,77,0.07,0.04,0.1
resnet,raw,34,FALSE,UAP,0.029585799,0.034482759,0.024390244,169,87,82,0.025,0.03,0.02
resnet,raw,50,TRUE,BL-BFGS,0.005025126,0.01,0,199,100,99,0.005,0.01,0
resnet,raw,50,TRUE,CW2,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,raw,50,TRUE,DeepFool,0,0,0,163,79,84,0,0,0
resnet,raw,50,TRUE,FGSM,0.052910053,0.010416667,0.096774194,189,96,93,0.05,0.01,0.09
resnet,raw,50,TRUE,LLC,0.021978022,0.020408163,0.023809524,91,49,42,0.01,0.01,0.01
resnet,raw,50,TRUE,PGD,0.035,0.03,0.04,200,100,100,0.035,0.03,0.04
resnet,raw,50,TRUE,RFGSM,0.025125628,0.01,0.04040404,199,100,99,0.025,0.01,0.04
resnet,raw,50,TRUE,STEP_LLC,0.025974026,0,0.051282051,154,76,78,0.02,0,0.04
resnet,raw,50,TRUE,UAP,0.006134969,0.012658228,0,163,79,84,0.005,0.01,0
resnet,raw,50,FALSE,BL-BFGS,0.005025126,0.01,0,199,100,99,0.005,0.01,0
resnet,raw,50,FALSE,CW2,0,0,0,199,99,100,0,0,0
resnet,raw,50,FALSE,DeepFool,0,0,0,146,64,82,0,0,0
resnet,raw,50,FALSE,FGSM,0.05988024,0.02020202,0.117647059,167,99,68,0.05,0.02,0.08
resnet,raw,50,FALSE,LLC,0.035714286,0.016666667,0.057692308,112,60,52,0.02,0.01,0.03
resnet,raw,50,FALSE,PGD,0.05,0.04,0.06,200,100,100,0.05,0.04,0.06
resnet,raw,50,FALSE,RFGSM,0.015706806,0.02,0.010989011,191,100,91,0.015,0.02,0.01
resnet,raw,50,FALSE,STEP_LLC,0.022900763,0,0.056603774,131,78,53,0.015,0,0.03
resnet,raw,50,FALSE,UAP,0.061538462,0.08,0.05,130,50,80,0.04,0.04,0.04
resnet,adversarial,18,TRUE,BL-BFGS,0.005,0.01,0,200,100,100,0.005,0.01,0
resnet,adversarial,18,TRUE,CW2,0.005025126,0.01010101,0,199,99,100,0.005,0.01,0
resnet,adversarial,18,TRUE,DeepFool,0,0,0,171,86,85,0,0,0
